ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_dur,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_dur,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task3_dur,Task4_wav,Task4_dur,Task_5_wav,Task5_dur,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
271,1,5,5,1,1780.118005,1,1,1,2,1,629.350000,1,0,0,0,1,239.607007,1,478.795011,1,422.328005,1,0,0,0
272,1,5,3,1,956.840000,1,0,0,0,1,322.829002,1,0,0,0,1,170.244014,1,306.282993,1,326.666009,1,0,0,0
273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1,5,5,1,1225.035986,1,1,1,2,1,62.720000,1,0,0,0,1,139.767007,1,355.999002,1,539.759388,1,0,0,0
278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,1,5,5,1,1489.750000,1,1,1,2,1,375.216984,1,0,0,0,1,196.432993,1,400.423991,1,415.583991,1,0,0,0
280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,1,5,5,1,1586.918005,1,1,1,2,1,341.696009,1,0,0,0,1,156.917007,1,359.078005,1,387.531995,1,0,0,0
285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,5,5,1,1495.093991,1,1,1,2,1,987.440000,1,0,0,0,1,277.896009,1,371.280000,1,419.263991,1,0,0,0
292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,1,5,3,1,-1,1,0,0,0,1,609.320000,1,0,0,0,1,198.274989,1,472.762993,1,472.170998,1,0,0,0
294,1,5,3,1,1059.233991,1,0,0,0,1,545.551995,1,0,0,0,1,197.030998,1,565.744014,1,259.216009,1,0,0,0
296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,1,5,3,1,1037.281995,1,0,0,0,1,293.965011,1,0,0,0,1,192.183016,1,344.514989,1,253.320000,1,0,0,0
298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1,5,3,1,1776.823991,1,0,0,0,1,310.795011,1,0,0,0,1,338.007007,1,365.221995,1,865.833991,1,0,0,0
303,1,5,3,1,1639.297007,1,0,0,0,1,656.574989,1,0,0,0,1,274.262018,1,438.900998,1,473.057007,1,0,0,0
304,1,5,3,1,645.210000,1,0,0,0,1,291.780000,1,0,0,0,1,147.963991,1,328.204014,1,172.436984,1,0,0,0
307,1,5,3,1,958.385986,1,0,0,0,1,275.068005,1,0,0,0,1,174.430998,1,359.433991,1,281.613991,1,0,0,0
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1,5,3,1,2571.451995,1,0,0,0,1,1030.983991,1,0,0,0,1,259.164014,1,375.674989,1,747.313016,1,0,0,0
313,1,5,3,1,1160.000998,1,0,0,0,1,407.090000,1,0,0,0,1,129.634989,1,325.863016,1,349.652993,1,0,0,0
316,1,5,3,1,822.702993,1,0,0,0,1,383.640000,1,0,0,0,1,199.060998,1,551.234014,1,281.770998,1,0,0,0
317,1,5,3,1,-1,1,0,0,0,1,377.629002,1,0,0,0,1,289.943016,1,439.607007,1,407.291995,1,0,0,0
318,1,5,5,1,1357.178005,1,1,1,2,1,866.034989,1,0,0,0,1,215.635011,1,545.821995,1,483.081995,1,0,0,0
319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1,5,3,1,921.390000,1,0,0,0,1,430.577007,1,0,0,0,1,163.615011,1,366.016984,1,241.371995,1,0,0,0
321,1,5,3,1,1131.057007,1,0,0,0,1,334.882993,1,0,0,0,1,177.731995,1,352.293991,1,272.416984,1,0,0,0
322,1,5,3,1,759.850000,1,0,0,0,1,383.796009,1,0,0,0,1,147.337007,1,348.246984,1,208.360000,1,0,0,0
323,1,5,3,1,835.028005,1,0,0,0,1,383.366984,1,0,0,0,1,153.364989,1,336.374989,1,227.488005,1,0,0,0
325,1,5,5,1,1589.679002,1,1,1,3,1,664.188005,1,0,0,0,1,225.713016,1,312.562993,1,427.908005,1,0,0,0
326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,1,5,3,1,1122.582993,1,0,0,0,1,642.895986,1,0,0,0,1,209.381995,1,375.115986,1,296.606009,1,0,0,0
330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,1,5,3,1,960.539002,1,0,0,0,1,382.090000,1,0,0,0,1,367.029002,1,576.860000,1,286.339002,1,0,0,0
340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,1,5,3,1,1870.496984,1,0,0,0,1,300.007007,1,0,0,0,1,181.330998,1,366.957982,1,212.074014,1,0,0,0
343,1,5,3,1,2530.212993,1,0,0,0,1,903.813991,1,0,0,0,1,221.601995,1,439.295986,1,597.770000,1,0,0,0
344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1,5,2,1,1221.874331,1,0,0,0,1,70.579002,0,0,0,0,1,242.870998,1,461.270998,1,285.790998,1,0,0,0
348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,1,5,3,1,1092.120998,1,0,0,0,1,426.363991,1,0,0,0,1,151.841995,1,336.014989,1,377.735011,1,0,0,0
351,1,5,3,1,1395.687982,1,0,0,0,1,558.804989,1,0,0,0,1,160.655011,1,447.516009,1,314.310000,1,0,0,0
352,1,5,3,1,1086.820000,1,0,0,0,1,374.866009,1,0,0,0,1,147.870000,1,469.950998,1,307.707007,1,0,0,0
353,1,5,3,1,1352.551995,1,0,0,0,1,545.241995,1,0,0,0,1,191.512993,1,424.517007,1,289.370998,1,0,0,0
360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,1,5,3,1,-1,1,0,0,0,1,295.427007,1,0,0,0,1,263.035986,1,347.330000,1,219.601995,1,0,0,0
363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,1,5,3,1,641.947007,1,0,0,0,1,344.517007,1,0,0,0,1,131.934014,1,337.646009,1,89.963107,1,0,0,0
374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,1,5,3,1,-1,1,0,0,0,1,403.656984,1,0,0,0,1,259.682993,1,725.635986,1,277.666009,1,0,0,0
376,1,5,3,1,-1,1,0,0,0,1,658.262018,1,0,0,0,1,280.383016,1,432.167007,1,466.026009,1,0,0,0
377,1,5,3,1,926.378005,1,0,0,0,1,427.991020,1,0,0,0,1,273.714989,1,475.642993,1,273.400998,1,0,0,0
378,1,5,3,1,1196.434989,1,0,0,0,1,366.984014,1,0,0,0,1,169.696009,1,386.180998,1,262.920998,1,0,0,0
379,1,5,3,1,1187.820998,1,0,0,0,1,512.035986,1,0,0,0,1,214.678005,1,418.925011,1,313.341995,1,0,0,0
388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,1,5,3,1,828.565011,1,0,0,0,1,318.300998,1,0,0,0,1,131.950000,1,327.564989,1,206.383991,1,0,0,0
